home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Santos,Internacional,2,2,2021,17,2021-08-22,18:15:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Sport,Sao Paulo,0,1,2021,17,2021-08-22,20:30:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
America-MG,Bragantino,0,2,2021,17,2021-08-23,20:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Fluminense,Atletico-MG,1,1,2021,17,2021-08-23,20:00:00,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sport,Chapecoense,0,0,2021,18,2021-08-28,17:00:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Santos,Flamengo,0,4,2021,18,2021-08-28,19:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Gremio,Corinthians,0,1,2021,18,2021-08-28,21:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Palmeiras,Athletico-PR,2,1,2021,18,2021-08-28,21:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
America-MG,Ceara,2,0,2021,18,2021-08-29,11:00:00,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Juventude,Sao Paulo,1,1,2021,18,2021-08-29,16:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Atletico-GO,Internacional,0,0,2021,18,2021-08-29,18:15:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Bragantino,Atletico-MG,1,1,2021,18,2021-08-29,20:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Fluminense,Bahia,2,0,2021,18,2021-08-30,19:00:00,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Fortaleza,Cuiaba,0,0,2021,18,2021-08-30,21:30:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Bahia,Fortaleza,4,2,2021,19,2021-09-04,21:00:00,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Cuiaba,Santos,2,1,2021,19,2021-09-04,21:00:00,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Athletico-PR,Sport,0,0,2021,19,2021-09-05,18:15:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Corinthians,Juventude,1,1,2021,19,2021-09-07,21:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
Chapecoense,Fluminense,1,2,2021,19,2021-09-07,21:30:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Sao Paulo,America-MG,0,0,2021,19,2021-09-22,20:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
Ceara,Palmeiras,1,2,2021,19,2021-10-20,19:00:00,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Internacional,Bragantino,1,1,2021,19,2021-10-21,20:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Atletico-MG,Gremio,2,1,2021,19,2021-11-03,21:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Flamengo,Atletico-GO,2,0,2021,19,2021-11-05,21:30:00,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
America-MG,Athletico-PR,2,0,2021,20,2021-09-11,16:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Juventude,Cuiaba,1,2,2021,20,2021-09-11,17:00:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Bragantino,Chapecoense,1,2,2021,20,2021-09-11,19:00:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Santos,Bahia,0,0,2021,20,2021-09-11,21:00:00,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
Gremio,Ceara,2,0,2021,20,2021-09-12,11:00:00,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
